Bone_Mandiblez,Thyroidz,Brainstemz,Cavity_Oralz,Esophagusz,Eye_Lz,Eye_Rz,Glnd_Submand_Lz,Glnd_Submand_Rz,Larynxz,LN_L_Ibz,LN_L_II-IVz,LN_L_RPz,LN_L_Vz,LN_R_Ibz,LN_R_II-IVz,LN_R_RPz,LN_R_Vz,Lobe_Temporal_Lz,Lobe_Temporal_Rz,Musc_Constrictz,Parotid_Lz,Parotid_Rz,SpinalCordz,Tracheaz
[ 49  87 126],,[27 35 35],[ 27  77 144],[108  66  38],[12 25 26],[13 26 27],[16 28 18],[18 25 18],[35 41 42],[23 59 50],[45 61 53],[31 22 16],[35 64 46],[17 74 55],[60 90 56],[30 22 16],[34 68 45],[ 26 115  60],[23 95 46],[61 32 43],[25 56 43],[40 49 41],[111  91  31],[35 49 21]
[ 36 117 135],,[16 27 28],[16 81 86],[71 52 37],[12 26 26],[12 28 28],[22 21 25],[23 37 31],[29 33 47],[17 45 32],[57 85 67],[30 23 13],[20 41 38],[21 49 44],[57 59 43],[35 15 11],[42 46 43],[ 21 118  53],[20 84 53],[59 24 48],[38 61 49],[26 46 40],[129 100  32],[21 38 28]
[ 40 104 122],,[37 39 43],[ 34  81 138],[62 47 30],[12 27 26],[13 26 25],[14 41 26],[15 38 23],[39 37 50],[20 59 33],[60 68 59],[32 15 26],[31 33 50],[14 43 26],[84 75 63],[42 14 20],[45 70 85],[ 24 107  56],[ 11 109  54],[52 38 42],[32 56 46],[36 58 32],[183  97  39],[46 70 30]
[ 33 124 130],,[31 34 42],[ 27  75 136],[58 58 31],[11 23 24],[11 25 26],[14 42 24],[18 26 20],[61 75 34],[25 69 47],[71 68 54],[31 18 17],[30 31 43],[17 55 32],[65 74 63],[28 14 14],[37 40 49],[ 18 107  54],[ 10 100  50],[60 17 50],[20 39 26],[31 45 36],[144  82  36],[20 28 25]
[ 44  90 127],,[26 34 45],[ 38  65 128],[63 77 35],[13 25 25],[10 25 27],[21 24 27],[17 30 24],[13 18 35],[23 62 35],[93 69 71],[39 14 17],[24 50 55],[20 75 52],[87 64 54],[42 20 17],[43 87 88],[27 99 51],[13 73 54],[67 19 34],[23 34 32],[27 36 34],[118  78  25],[34 59 30]
[ 33 120 126],,[31 35 43],[ 28  62 143],[83 60 34],[12 25 26],[13 25 27],[17 30 23],[13 38 27],[31 43 50],[26 58 44],[87 97 69],[28 13 15],[60 92 86],[23 74 61],[88 72 68],[27 15 19],[34 43 45],[ 12 113  53],[24 99 54],[48 37 48],[32 70 33],[21 40 40],[121  81  32],[29 50 23]
[ 44 109 124],,[28 31 26],[ 33  67 123],[78 69 43],[14 28 27],[11 22 24],[12 34 23],[20 32 27],[29 34 40],[17 67 36],[81 65 52],[32 17 12],[29 51 49],[17 48 39],[63 54 47],[40 15 15],[36 40 43],[ 12 100  46],[12 79 54],[54 27 60],[27 51 60],[26 42 49],[125 138  32],[48 62 34]
[ 40  92 125],,[36 44 34],[ 30  68 131],[ 9 24 25],[12 29 27],[11 23 26],[15 31 16],[25 33 21],[60 71 38],[18 74 39],[86 81 56],[29 15 16],[40 46 56],[23 54 45],[67 82 56],[31 31 12],[27 54 53],[14 85 53],[13 92 57],[59 17 39],[27 37 32],[35 61 46],[138  73  33],[21 50 27]
[ 63  87 116],,[23 33 37],[ 31  91 160],[47 61 34],[13 25 28],[10 24 27],[23 29 22],[ 5 14 18],[31 41 48],[24 54 49],[58 57 37],[ 69 131  86],[22 66 63],[19 68 43],[94 87 68],[36 17 12],[37 61 68],[11 73 52],[ 19 108  62],[53 18 40],[28 41 31],[32 48 47],[120  86  33],[10 20 15]
[ 42  99 129],,[31 31 39],[28 83 99],[48 56 25],[11 24 24],[10 25 24],[24 21 21],[20 25 19],[70 99 48],[16 46 28],[92 76 50],[39 18 12],[22 62 60],[20 50 32],[77 75 53],[31 18 29],[31 60 49],[13 79 54],[11 96 53],[50 37 41],[31 50 38],[16 53 34],[118  97  28],[40 70 41]
